Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_000001.11	1385711	1399335	1	minus	cyclin L2	CCNL2	81669	protein-coding	NM_030937.6	NP_112199.2	520	
NC_000001.11	1401909	1407293	1	minus	mitochondrial ribosomal protein L20	MRPL20	55052	protein-coding	NM_017971.4	NP_060441.2	149	
NC_000001.11	1418420	1421276	1	minus	ankyrin repeat domain 65	ANKRD65	441869	protein-coding	NM_001145210.3	NP_001138682.1	399	
NC_000001.11	1425871	1430255	1	plus	transmembrane protein 88B	TMEM88B	643965	protein-coding	NM_001146685.2	NP_001140157.1	163	
NC_000001.11	1433233	1435549	1	plus	uncharacterized LOC107985729	LOC107985729	107985729	protein-coding	XM_017003066.2	XP_016858555.1	328	
NC_000001.11	1435690	1442882	1	plus	von Willebrand factor A domain containing 1	VWA1	64856	protein-coding	NM_022834.5	NP_073745.2	445	
NC_000001.11	1449689	1470163	1	plus	ATPase family AAA domain containing 3C	ATAD3C	219293	protein-coding	NM_001039211.3	NP_001034300.2	411	
NC_000001.11	1471765	1509466	1	plus	ATPase family AAA domain containing 3B	ATAD3B	83858	protein-coding	NM_031921.6	NP_114127.3	648	
NC_000001.11	1512162	1534685	1	plus	ATPase family AAA domain containing 3A	ATAD3A	55210	protein-coding	NM_018188.5	NP_060658.3	634	
NC_000001.11	1534778	1540624	1	minus	transmembrane protein 240	TMEM240	339453	protein-coding	NM_001114748.2	NP_001108220.1	173	
NC_000001.11	1541673	1574863	1	minus	SSU72 homolog, RNA polymerase II CTD phosphatase	SSU72	29101	protein-coding	NM_014188.3	NP_054907.1	194	
NC_000001.11	1598012	1600135	1	minus	fibronectin type III domain containing 10	FNDC10	643988	protein-coding	NM_001242659.2	NP_001229588.1	226	
NC_000001.11	1613731	1630605	1	plus	MIB E3 ubiquitin protein ligase 2	MIB2	142678	protein-coding	NM_080875.5	NP_543151.4	955	
NC_000001.11	1632173	1634654	1	plus	matrix metallopeptidase 23B	MMP23B	8510	protein-coding	NM_006983.2	NP_008914.1	390	
NC_000001.11	1635225	1659004	1	minus	cyclin dependent kinase 11B	CDK11B	984	protein-coding	NM_001787.3	NP_001778.2	795	
NC_000001.11	1661478	1692795	1	minus	solute carrier family 35 member E2B	SLC35E2B	728661	protein-coding	NM_001110781.3	NP_001104251.1	405	
NC_000001.11	1702379	1724357	1	minus	cyclin dependent kinase 11A	CDK11A	728642	protein-coding	NM_024011.4	NP_076916.2	780	
NC_000001.11	1751232	1780514	1	minus	NAD kinase	NADK	65220	protein-coding	NM_023018.5	NP_075394.3	446	
NC_000001.11	1785286	1891087	1	minus	G protein subunit beta 1	GNB1	2782	protein-coding	NM_002074.5	NP_002065.1	340	
NC_000001.11	1915260	1917296	1	plus	calmodulin like 6	CALML6	163688	protein-coding	NM_138705.4	NP_619650.2	181	
NC_000001.11	1917591	1919279	1	minus	transmembrane protein 52	TMEM52	339456	protein-coding	NM_178545.4	NP_848640.1	209	
NC_000001.11	1921957	2003786	1	minus	cilia and flagella associated protein 74	CFAP74	85452	protein-coding	NM_001304360.2	NP_001291289.1	1639	
NC_000001.11	2019345	2030758	1	plus	gamma-aminobutyric acid type A receptor subunit delta	GABRD	2563	protein-coding	NM_000815.5	NP_000806.2	452	
NC_000001.11	2048504	2185395	1	plus	protein kinase C zeta	PRKCZ	5590	protein-coding	NM_002744.6	NP_002735.3	592	
NC_000001.11	2184477	2212720	1	minus	FA core complex associated protein 20	FAAP20	199990	protein-coding	NM_182533.4	NP_872339.3	180	
NC_000001.11	2228319	2310213	1	plus	SKI proto-oncogene	SKI	6497	protein-coding	NM_003036.4	NP_003027.1	728	
NC_000001.11	2321253	2391554	1	minus	MORN repeat containing 1	MORN1	79906	protein-coding	NM_024848.3	NP_079124.1	497	
NC_000001.11	2391841	2405436	1	plus	retention in endoplasmic reticulum sorting receptor 1	RER1	11079	protein-coding	NM_007033.5	NP_008964.3	196	
NC_000001.11	2403974	2413827	1	minus	peroxisomal biogenesis factor 10	PEX10	5192	protein-coding	NM_002617.4	NP_002608.1	326	
NC_000001.11	2415943	2505532	1	plus	phospholipase C eta 2	PLCH2	9651	protein-coding	NM_014638.4	NP_055453.2	1416	
NC_000001.11	2508537	2526596	1	minus	pantothenate kinase 4 (inactive)	PANK4	55229	protein-coding	NM_018216.4	NP_060686.3	773	
NC_000001.11	2528745	2530263	1	minus	hes family bHLH transcription factor 5	HES5	388585	protein-coding	NM_001010926.4	NP_001010926.1	166	
NC_000001.11	2554234	2563829	1	plus	TNF receptor superfamily member 14	TNFRSF14	8764	protein-coding	NM_003820.4	NP_003811.2	283	
NC_000001.11	2586523	2591468	1	plus	peroxiredoxin like 2B	PRXL2B	127281	protein-coding	NM_152371.5	NP_689584.5	198	
NC_000001.11	2590639	2633016	1	minus	membrane metalloendopeptidase like 1	MMEL1	79258	protein-coding	NM_033467.4	NP_258428.2	779	
NC_000001.11	2636986	2801693	1	minus	tetratricopeptide repeat domain 34	TTC34	100287898	protein-coding	NM_001242672.3	NP_001229601.2	1079	
NC_000001.11	3021467	3022903	1	plus	actin related protein T2	ACTRT2	140625	protein-coding	NM_080431.5	NP_536356.3	377	
NC_000001.11	3055423	3075562	1	minus	translation initiation factor IF-2	LOC124903827	124903827	protein-coding	XM_047436534.1	XP_047292490.1	557	
NC_000001.11	3069203	3438621	1	plus	PR/SET domain 16	PRDM16	63976	protein-coding	NM_022114.4	NP_071397.3	1276	
NC_000001.11	3266945	3297275	1	plus	collagen alpha-5(IV) chain-like	LOC124903828	124903828	protein-coding	XM_047436627.1	XP_047292583.1	387	
NC_000001.11	3454665	3481113	1	plus	Rho guanine nucleotide exchange factor 16	ARHGEF16	27237	protein-coding	NM_014448.4	NP_055263.2	709	
NC_000001.11	3487951	3624786	1	minus	multiple EGF like domains 6	MEGF6	1953	protein-coding	NM_001409.4	NP_001400.3	1541	
NC_000001.11	3625015	3630127	1	plus	tumor protein p63 regulated 1 like	TPRG1L	127262	protein-coding	NM_182752.4	NP_877429.2	272	
NC_000001.11	3630770	3650103	1	minus	WD repeat containing, antisense to TP73	WRAP73	49856	protein-coding	NM_017818.4	NP_060288.3	460	
NC_000001.11	3652516	3736201	1	plus	tumor protein p73	TP73	7161	protein-coding	NM_005427.4	NP_005418.1	636	
NC_000001.11	3752450	3771645	1	plus	coiled-coil domain containing 27	CCDC27	148870	protein-coding	NM_152492.3	NP_689705.2	656	
NC_000001.11	3772749	3775956	1	plus	small integral membrane protein 1 (Vel blood group)	SMIM1	388588	protein-coding	NM_001163724.3	NP_001157196.1	78	
NC_000001.11	3778559	3796498	1	minus	leucine rich repeat containing 47	LRRC47	57470	protein-coding	NM_020710.3	NP_065761.1	583	
NC_000001.11	3812086	3857211	1	minus	centrosomal protein 104	CEP104	9731	protein-coding	NM_014704.4	NP_055519.1	925	
NC_000001.11	3857476	3885429	1	plus	DNA fragmentation factor subunit beta	DFFB	1677	protein-coding	NM_004402.4	NP_004393.1	338	
NC_000001.11	3889133	3900272	1	minus	chromosome 1 open reading frame 174	C1orf174	339448	protein-coding	NM_207356.3	NP_997239.2	243	
NC_000001.11	4654609	4792534	1	plus	adherens junctions associated protein 1	AJAP1	55966	protein-coding	NM_018836.4	NP_061324.1	411	
NC_000001.11	5862811	5992425	1	minus	nephrocystin 4	NPHP4	261734	protein-coding	NM_015102.5	NP_055917.1	1426	
NC_000001.11	5992676	6101180	1	plus	potassium voltage-gated channel subfamily A regulatory beta subunit 2	KCNAB2	8514	protein-coding	NM_003636.4	NP_003627.1	367	
NC_000001.11	6101787	6180321	1	minus	chromodomain helicase DNA binding protein 5	CHD5	26038	protein-coding	NM_015557.3	NP_056372.1	1954	
NC_000001.11	6185020	6199595	1	minus	ribosomal protein L22	RPL22	6146	protein-coding	NM_000983.4	NP_000974.1	128	
NC_000001.11	6206119	6221299	1	plus	ring finger protein 207	RNF207	388591	protein-coding	NM_207396.3	NP_997279.2	634	
NC_000001.11	6221193	6235964	1	minus	isoprenylcysteine carboxyl methyltransferase	ICMT	23463	protein-coding	NM_012405.4	NP_036537.1	284	
NC_000001.11	6244179	6245578	1	plus	hes family bHLH transcription factor 3	HES3	390992	protein-coding	NM_001024598.4	NP_001019769.1	186	
NC_000001.11	6247353	6261098	1	minus	G protein-coupled receptor 153	GPR153	387509	protein-coding	NM_207370.4	NP_997253.2	609	
NC_000001.11	6264272	6393767	1	minus	acyl-CoA thioesterase 7	ACOT7	11332	protein-coding	NM_007274.4	NP_009205.3	370	
NC_000001.11	6415232	6419919	1	minus	hes family bHLH transcription factor 2	HES2	54626	protein-coding	NM_019089.5	NP_061962.2	173	
NC_000001.11	6424776	6461370	1	plus	espin	ESPN	83715	protein-coding	NM_031475.3	NP_113663.2	854	
NC_000001.11	6460786	6466173	1	minus	TNF receptor superfamily member 25	TNFRSF25	8718	protein-coding	NM_003790.3	NP_003781.1	417	
NC_000001.11	6467122	6520092	1	minus	pleckstrin homology and RhoGEF domain containing G5	PLEKHG5	57449	protein-coding	NM_020631.6	NP_065682.2	1006	
NC_000001.11	6521347	6554513	1	minus	nucleolar protein 9	NOL9	79707	protein-coding	NM_024654.5	NP_078930.4	702	
NC_000001.11	6555307	6579755	1	plus	taste 1 receptor member 1	TAS1R1	80835	protein-coding	NM_138697.4	NP_619642.2	841	
NC_000001.11	6579994	6589280	1	plus	zinc finger and BTB domain containing 48	ZBTB48	3104	protein-coding	NM_005341.4	NP_005332.1	688	
NC_000001.11	6590724	6602869	1	minus	kelch like family member 21	KLHL21	9903	protein-coding	NM_014851.4	NP_055666.2	597	
NC_000001.11	6613731	6624030	1	plus	PHD finger protein 13	PHF13	148479	protein-coding	NM_153812.3	NP_722519.2	300	
NC_000001.11	6624868	6635595	1	plus	THAP domain containing 3	THAP3	90326	protein-coding	NM_138350.4	NP_612359.2	175	
NC_000001.11	6634170	6701816	1	minus	DnaJ heat shock protein family (Hsp40) member C11	DNAJC11	55735	protein-coding	NM_018198.4	NP_060668.2	559	
NC_000001.11	6785454	7769706	1	plus	calmodulin binding transcription activator 1	CAMTA1	23261	protein-coding	NM_015215.4	NP_056030.1	1673	
NC_000001.11	7771296	7781432	1	plus	vesicle associated membrane protein 3	VAMP3	9341	protein-coding	NM_004781.4	NP_004772.1	100	
NC_000001.11	7784291	7845177	1	plus	period circadian regulator 3	PER3	8863	protein-coding	NM_016831.4	NP_058515.1	1201	
NC_000001.11	7847612	7913249	1	minus	urotensin 2	UTS2	10911	protein-coding	NM_006786.4	NP_006777.1	124	
NC_000001.11	7915871	7940839	1	minus	TNF receptor superfamily member 9	TNFRSF9	3604	protein-coding	NM_001561.6	NP_001552.2	255	
NC_000001.11	7961711	7985505	1	plus	Parkinsonism associated deglycase	PARK7	11315	protein-coding	NM_007262.5	NP_009193.2	189	
NC_000001.11	8011727	8026309	1	minus	ERBB receptor feedback inhibitor 1	ERRFI1	54206	protein-coding	NM_018948.4	NP_061821.1	462	
NC_000001.11	8318114	8344165	1	plus	solute carrier family 45 member 1	SLC45A1	50651	protein-coding	NM_001080397.3	NP_001073866.3	748	
NC_000001.11	8352404	8817640	1	minus	arginine-glutamic acid dipeptide repeats	RERE	473	protein-coding	NM_012102.4	NP_036234.3	1566	
NC_000001.11	8861000	8878686	1	minus	enolase 1	ENO1	2023	protein-coding	NM_001428.5	NP_001419.1	434	
NC_000001.11	8945868	8975092	1	plus	carbonic anhydrase 6	CA6	765	protein-coding	NM_001215.4	NP_001206.2	308	
NC_000001.11	8992534	9026423	1	minus	solute carrier family 2 member 7	SLC2A7	155184	protein-coding	NM_207420.3	NP_997303.2	512	
NC_000001.11	9035106	9094195	1	minus	solute carrier family 2 member 5	SLC2A5	6518	protein-coding	NM_003039.3	NP_003030.1	501	
NC_000001.11	9100305	9129102	1	minus	G protein-coupled receptor 157	GPR157	80045	protein-coding	NM_024980.5	NP_079256.4	335	
NC_000001.11	9234774	9271337	1	plus	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	H6PD	9563	protein-coding	NM_004285.4	NP_004276.2	791	
NC_000001.11	9292894	9369532	1	plus	splA/ryanodine receptor domain and SOCS box containing 1	SPSB1	80176	protein-coding	NM_025106.4	NP_079382.2	273	
NC_000001.11	9539465	9585173	1	plus	solute carrier family 25 member 33	SLC25A33	84275	protein-coding	NM_032315.3	NP_115691.1	321	
NC_000001.11	9588911	9614877	1	plus	transmembrane protein 201	TMEM201	199953	protein-coding	NM_001010866.4	NP_001010866.1	392	
NC_000001.11	9614664	9622316	1	plus	uncharacterized LOC124903837	LOC124903837	124903837	protein-coding	XM_047436734.1	XP_047292690.1	342	
NC_000001.11	9627258	9729114	1	plus	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	PIK3CD	5293	protein-coding	NM_005026.5	NP_005017.3	1044	
NC_000001.11	9728926	9824526	1	minus	calsyntenin 1	CLSTN1	22883	protein-coding	NM_014944.4	NP_055759.3	971	
NC_000001.11	9848276	9910269	1	minus	catenin beta interacting protein 1	CTNNBIP1	56998	protein-coding	NM_020248.3	NP_064633.1	81	
NC_000001.11	9922118	9943391	1	minus	leucine zipper and CTNNBIP1 domain containing	LZIC	84328	protein-coding	NM_032368.5	NP_115744.2	190	
NC_000001.11	9942923	9996892	1	plus	nicotinamide nucleotide adenylyltransferase 1	NMNAT1	64802	protein-coding	NM_022787.4	NP_073624.2	279	
NC_000001.11	9996719	9998089	1	minus	basic salivary proline-rich protein 2-like	LOC124903840	124903840	protein-coding	XM_047436754.1	XP_047292710.1	160	
NC_000001.11	9997228	10016021	1	plus	retinol binding protein 7	RBP7	116362	protein-coding	NM_052960.3	NP_443192.1	134	
NC_000001.11	10032958	10181239	1	plus	ubiquitination factor E4B	UBE4B	10277	protein-coding	NM_006048.5	NP_006039.2	1173	
NC_000001.11	10210570	10381603	1	plus	kinesin family member 1B	KIF1B	23095	protein-coding	NM_015074.3	NP_055889.2	1770	
NC_000001.11	10399064	10420511	1	plus	phosphogluconate dehydrogenase	PGD	5226	protein-coding	NM_002631.4	NP_002622.2	483	
NC_000001.11	10430433	10452153	1	plus	CENPS-CORT readthrough	CENPS-CORT	100526739	protein-coding	NM_198544.4	NP_940946.1	164	
NC_000001.11	10430433	10442808	1	plus	centromere protein S	CENPS	378708	protein-coding	NM_199294.3	NP_954988.1	138	
NC_000001.11	10450031	10451998	1	plus	cortistatin	CORT	1325	protein-coding	NM_001302.5	NP_001293.3	105	
NC_000001.11	10456522	10472529	1	minus	DNA fragmentation factor subunit alpha	DFFA	1676	protein-coding	NM_004401.3	NP_004392.1	331	
NC_000001.11	10474950	10630758	1	plus	peroxisomal biogenesis factor 14	PEX14	5195	protein-coding	NM_004565.3	NP_004556.1	377	
NC_000001.11	10636604	10796646	1	minus	castor zinc finger 1	CASZ1	54897	protein-coding	NM_017766.5	NP_060236.3	1166	
NC_000001.11	10946475	10982076	1	minus	chromosome 1 open reading frame 127	C1orf127	148345	protein-coding	NM_001170754.2	NP_001164225.1	823	
NC_000001.11	11012654	11030528	1	plus	TAR DNA binding protein	TARDBP	23435	protein-coding	NM_007375.4	NP_031401.1	414	
NC_000001.11	11026523	11047239	1	minus	MBL associated serine protease 2	MASP2	10747	protein-coding	NM_006610.4	NP_006601.2	686	
NC_000001.11	11054589	11060018	1	minus	spermidine synthase	SRM	6723	protein-coding	NM_003132.3	NP_003123.2	302	
NC_000001.11	11066618	11099869	1	minus	exosome component 10	EXOSC10	5394	protein-coding	NM_002685.4	NP_002676.1	860	
NC_000001.11	11106535	11262551	1	minus	mechanistic target of rapamycin kinase	MTOR	2475	protein-coding	NM_004958.4	NP_004949.1	2549	
NC_000001.11	11189355	11195981	1	plus	angiopoietin like 7	ANGPTL7	10218	protein-coding	NM_021146.4	NP_066969.1	346	
NC_000001.11	11273198	11299574	1	plus	UbiA prenyltransferase domain containing 1	UBIAD1	29914	protein-coding	NM_013319.3	NP_037451.1	338	
NC_000001.11	11479155	11537551	1	plus	dispatched RND transporter family member 3	DISP3	57540	protein-coding	NM_020780.2	NP_065831.1	1392	
NC_000001.11	11648387	11654429	1	minus	F-box protein 2	FBXO2	26232	protein-coding	NM_012168.6	NP_036300.2	296	
NC_000001.11	11654407	11663327	1	plus	F-box protein 44	FBXO44	93611	protein-coding	NM_033182.7	NP_149438.2	255	
NC_000001.11	11664200	11674354	1	plus	F-box protein 6	FBXO6	26270	protein-coding	NM_018438.6	NP_060908.1	293	
NC_000001.11	11674480	11691830	1	minus	mitotic arrest deficient 2 like 2	MAD2L2	10459	protein-coding	NM_006341.4	NP_006332.3	211	
NC_000001.11	11686635	11725857	1	plus	dorsal inhibitory axon guidance protein	DRAXIN	374946	protein-coding	NM_198545.4	NP_940947.3	349	
NC_000001.11	11736136	11750769	1	plus	angiotensin II receptor associated protein	AGTRAP	57085	protein-coding	NM_020350.5	NP_065083.3	159	
NC_000001.11	11762193	11789585	1	plus	chromosome 1 open reading frame 167	C1orf167	284498	protein-coding	NM_001010881.2	NP_001010881.1	1449	
NC_000001.11	11785723	11805964	1	minus	methylenetetrahydrofolate reductase	MTHFR	4524	protein-coding	NM_005957.5	NP_005948.3	656	
NC_000001.11	11806191	11843130	1	plus	chloride voltage-gated channel 6	CLCN6	1185	protein-coding	NM_001286.5	NP_001277.2	869	
NC_000001.11	11845709	11847783	1	minus	natriuretic peptide A	NPPA	4878	protein-coding	NM_006172.4	NP_006163.1	151	
NC_000001.11	11857464	11858945	1	minus	natriuretic peptide B	NPPB	4879	protein-coding	NM_002521.3	NP_002512.1	134	
NC_000001.11	11919591	11926427	1	minus	KIAA2013	KIAA2013	90231	protein-coding	NM_138346.3	NP_612355.1	634	
NC_000001.11	11934717	11975537	1	plus	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	PLOD1	5351	protein-coding	NM_000302.4	NP_000293.2	727	
NC_000001.11	11980444	12013508	1	plus	mitofusin 2	MFN2	9927	protein-coding	NM_014874.4	NP_055689.1	757	
NC_000001.11	12019498	12032045	1	plus	migration and invasion inhibitory protein	MIIP	60672	protein-coding	NM_021933.4	NP_068752.2	388	
NC_000001.11	12063303	12144207	1	plus	TNF receptor superfamily member 8	TNFRSF8	943	protein-coding	NM_001243.5	NP_001234.3	595	
NC_000001.11	12166991	12209220	1	plus	TNF receptor superfamily member 1B	TNFRSF1B	7133	protein-coding	NM_001066.3	NP_001057.1	461	
NC_000001.11	12230030	12512047	1	plus	vacuolar protein sorting 13 homolog D	VPS13D	55187	protein-coding	NM_015378.4	NP_056193.2	4388	
NC_000001.11	12567910	12618210	1	minus	dehydrogenase/reductase 3	DHRS3	9249	protein-coding	NM_004753.7	NP_004744.2	302	
NC_000001.11	12644085	12667076	1	plus	arylacetamide deacetylase like 4	AADACL4	343066	protein-coding	NM_001013630.2	NP_001013652.1	407	
NC_000001.11	12716110	12728760	1	plus	arylacetamide deacetylase like 3	AADACL3	126767	protein-coding	NM_001103170.3	NP_001096640.2	407	
NC_000001.11	12746200	12763699	1	plus	cilia and flagella associated protein 107	CFAP107	93190	protein-coding	NM_152290.4	NP_689503.3	194	
NC_000001.11	12773738	12777906	1	plus	PRAME family member 12	PRAMEF12	390999	protein-coding	NM_001080830.5	NP_001074299.2	483	
NC_000001.11	12791397	12796628	1	plus	PRAME family member 1	PRAMEF1	65121	protein-coding	NM_023013.4	NP_075389.2	474	
NC_000001.11	12824605	12831410	1	minus	PRAME family member 11	PRAMEF11	440560	protein-coding	NM_001146344.3	NP_001139816.2	478	
NC_000001.11	12847377	12848720	1	minus	heterogeneous nuclear ribonucleoprotein C like 1	HNRNPCL1	343069	protein-coding	NM_001013631.3	NP_001013653.1	293	
NC_000001.11	12857086	12861909	1	plus	PRAME family member 2	PRAMEF2	65122	protein-coding	NM_023014.1	NP_075390.1	474	
NC_000001.11	12879212	12886201	1	minus	PRAME family member 4	PRAMEF4	400735	protein-coding	NM_001009611.4	NP_001009611.2	478	
NC_000001.11	12892896	12898270	1	minus	PRAME family member 10	PRAMEF10	343071	protein-coding	NM_001039361.4	NP_001034450.3	474	
NC_000001.11	12916610	12920751	1	plus	PRAME family member 7	PRAMEF7	441871	protein-coding	NM_001012277.5	NP_001012277.2	474	
NC_000001.11	12938472	12947580	1	minus	PRAME family member 6	PRAMEF6	440561	protein-coding	NM_001010889.2	NP_001010889.1	476	
NC_000001.11	13049476	13056575	1	minus	PRAME family member 27	PRAMEF27	101929983	protein-coding	NM_001300891.2	NP_001287820.1	478	
NC_000001.11	13060769	13062878	1	plus	heterogeneous nuclear ribonucleoprotein C like 3	HNRNPCL3	649330	protein-coding	NM_001382358.1	NP_001369287.1	293	
NC_000001.11	13070774	13077884	1	plus	PRAME family member 25	PRAMEF25	441873	protein-coding	NM_001310134.3	NP_001297063.1	478	
NC_000001.11	13115488	13116854	1	minus	heterogeneous nuclear ribonucleoprotein C like 2	HNRNPCL2	440563	protein-coding	NM_001136561.3	NP_001130033.3	293	
NC_000001.11	13148907	13156009	1	minus	PRAME family member 26	PRAMEF26	645359	protein-coding	NM_001306072.3	NP_001293001.1	478	
NC_000001.11	13163914	13165631	1	minus	heterogeneous nuclear ribonucleoprotein C like 4	HNRNPCL4	101060301	protein-coding	NM_001302551.2	NP_001289480.1	293	
NC_000001.11	13171848	13179459	1	plus	PRAME family member 9	PRAMEF9	343070	protein-coding	NM_001010890.3	NP_001010890.2	478	
NC_000001.11	13196188	13201409	1	minus	PRAME family member 13	PRAMEF13	400736	protein-coding	NM_001291380.1	NP_001278309.1	474	
NC_000001.11	13222695	13226154	1	minus	PRAME family member 18	PRAMEF18	391003	protein-coding	NM_001099850.2	NP_001093320.2	479	
NC_000001.11	13254198	13263435	1	plus	PRAME family member 5	PRAMEF5	343068	protein-coding	NM_001013407.5	NP_001013425.2	476	
NC_000001.11	13281304	13285137	1	minus	PRAME family member 8	PRAMEF8	391002	protein-coding	NM_001012276.3	NP_001012276.2	474	
NC_000001.11	13303539	13308907	1	plus	PRAME family member 33	PRAMEF33	645382	protein-coding	NM_001291381.1	NP_001278310.1	474	
NC_000001.11	13315581	13322598	1	plus	PRAME family member 15	PRAMEF15	653619	protein-coding	NM_001098376.3	NP_001091846.1	478	
NC_000001.11	13341892	13347134	1	minus	PRAME family member 14	PRAMEF14	729528	protein-coding	NM_001024661.2	NP_001019832.2	474	
NC_000001.11	13368431	13371947	1	minus	PRAME family member 19	PRAMEF19	645414	protein-coding	NM_001099790.5	NP_001093260.3	479	
NC_000001.11	13389632	13392629	1	plus	PRAME family member 17	PRAMEF17	391004	protein-coding	NM_001099851.3	NP_001093321.1	474	
NC_000001.11	13410450	13421328	1	plus	PRAME family member 20	PRAMEF20	645425	protein-coding	NM_001099852.2	NP_001093322.2	475	
NC_000001.11	13474973	13514003	1	minus	leucine rich repeat containing 38	LRRC38	126755	protein-coding	NM_001010847.2	NP_001010847.1	294	
NC_000001.11	13583757	13617957	1	plus	podoplanin	PDPN	10630	protein-coding	NM_006474.5	NP_006465.4	162	
NC_000001.11	13700188	13825079	1	plus	PR/SET domain 2	PRDM2	7799	protein-coding	NM_012231.5	NP_036363.2	1718	
NC_000001.11	13892824	15118043	1	plus	kazrin, periplakin interacting protein	KAZN	23254	protein-coding	NM_015209.3	NP_056024.1	421	
